energy,count
-9.85714299999131,29
-9.857142999991195,40
-9.857142999991083,20
-9.857141999991768,4
-9.857141999991654,4
-9.78571399999248,4
-9.785713999992367,2
-9.7857139999918,6
-9.785713999991684,11
-9.785713999991572,15
-9.785713999991458,4
-9.785713999991344,24
-9.78571399999123,20
-9.785713999991115,42
-9.785713999991003,28
-9.714285999991716,9
-9.714285999991604,28
-9.714285999991487,45
-9.714285999991375,54
-9.714285999991262,35
-9.714285999991148,48
-9.714285999991034,24
-9.71428499999172,5
-9.714284999991603,11
-9.714284999991492,10
-9.714284999991378,6
-9.714284999991264,2
-9.642856999992771,2
-9.64285699999266,2
-9.642856999992432,8
-9.642856999992318,4
-9.64285699999175,14
-9.642856999991636,13
-9.642856999991409,2
-9.642856999991295,6
-9.642856999991182,4
-9.571428999991667,11
-9.571428999991554,18
-9.57142899999144,19
-9.571428999991326,43
-9.571428999991213,39
-9.5714289999911,56
-9.571428999990983,28
-9.571427999993034,1
-9.57142799999292,1
-9.571427999992808,2
-9.571427999992466,4
-9.571427999992352,2
-9.571427999991784,2
-9.57142799999167,9
-9.571427999991556,6
-9.571427999991442,5
-9.571427999991329,4
-9.499999999992724,6
-9.49999999999261,6
-9.499999999992385,12
-9.49999999999227,6
-9.4999999999917,28
-9.499999999991587,71
-9.499999999991472,68
-9.49999999999136,83
-9.499999999991246,57
-9.499999999991132,54
-9.49999999999102,24
-9.428571999991732,6
-9.428571999991618,3
-9.428570999992983,2
-9.428570999992871,2
-9.428570999992758,6
-9.428570999992644,2
-9.42857099999253,2
-9.428570999992417,12
-9.428570999992305,8
-9.428570999991734,6
-9.42857099999162,10
-9.428570999991392,8
-9.42857099999128,9
-9.428570999991166,2
-9.357142999992677,12
-9.35714299999256,12
-9.357142999992334,16
-9.35714299999222,8
-9.357142999991652,28
-9.357142999991538,53
-9.357142999991424,28
-9.35714299999131,66
-9.357142999991195,63
-9.357142999991083,64
-9.35714299999097,28
-9.35714199999154,3
-9.357141999991429,8
-9.357141999991311,4
-9.3571419999912,1
-9.285714999991797,1
-9.285714999991685,11
-9.28571499999157,13
-9.285714999991455,8
-9.285714999991342,5
-9.285714999991228,1
-9.285713999992936,3
-9.285713999992822,3
-9.285713999992709,15
-9.285713999992597,8
-9.28571399999248,4
-9.285713999992367,20
-9.285713999992254,14
-9.285713999991684,19
-9.285713999991572,41
-9.285713999991458,37
-9.285713999991344,31
-9.28571399999123,16
-9.285713999991115,4
-9.214285999992969,2
-9.214285999992851,2
-9.21428599999274,6
-9.214285999992626,2
-9.2142859999924,8
-9.214285999992285,4
-9.214285999991716,4
